Channel,Subs
ZeppelinBigFan,47.1K
สะใภ้นอร์เว�…,47.1K
Sky Music,47K
تعليم الإنجليزية ب…,46.9K
Oslo Freedom Forum,46.8K
Muyiwa MG,46.8K
Aux Sauce,46.8K
GopherLive,46.7K
Knittingtraditions,46.7K
Magma,46.7K
gilmourish,46.6K
መጽሓፍ ቅዱስ ትግር�…,46.4K
Freyia TV,46.3K
Meland x Hauken,46.3K
Tom Studio,46.2K
Speak Norsk,46K
Bongo,45.9K
Toro,45.9K
QualityMuffin,45.8K
Dakota EarthHorn,45.7K
Sabina Marthinsen,45.7K
AIRBALL,45.3K
Helén Skogstad,45.3K
Kristin og Dennis,45.3K
Funkytwins,45.3K
Solheim Gaming,45.2K
CreatNite,45.2K
Ajmal Services,45.1K
Nordvei com,45K
Hula Hula Kids,45K
Qora Radar,45K
Tamilaruvitv,44.8K
Soomalida Maanta,44.8K
Tobias Fodnes,44.7K
BeyondControllers,44.6K
bakamiel,44.6K
Truls Torp,44.5K
RIZNICA TAJNI,44.5K
HAZZE,44.4K
Kris Rifa,44.4K
Youssra Maazia,44.3K
KjerneKarl,44.1K
MaeGaiThaiNorway แม่ไก่,44.1K
Trond Westby,44.1K
Kasper Høglund,44K
Idrop,44K
Agnes Lovise,43.9K
JonWilliam Kids Apps,43.9K
PowerSIM,43.9K
TaPPeliNo,43.8K
Morten Faerestrand,43.7K
Академия Правильн�…,43.6K
RC Truck Channel,43.6K
Ahmed X98,43.6K
Musique Charmante,43.6K
Klypa,43.5K
Learn Norwegian Naturally,43.5K
Adunbee,43.5K
humble,43.5K
Scene Sparks,43.3K
Shuuke Aadan Gurey,43.3K
P0ndern,43.2K
RAYS TV,43.1K
TheFactAbout,43.1K
Kubbi,43K
Norveç'in Kamyoncusu Ugur,43K
PeterSweden,43K
MsMusiclover1992,42.9K
Lucid Power Mind,42.9K
TV Kathmandu,42.9K
eirikeiken,42.8K
MediaConquer,42.8K
Joakim Kleven,42.8K
Yellow,42.7K
